Record Number;Title;Priority Country Code;Current Assignee;Assignee;Assignee Original;Current Owner;Publication/Issue Date;Filing/Application Date;CPC;IPC All Versions (IC);Simple Family Members;SFAM All countries;Publication Country;360° Quality;Priority Date;Priority Year;Attorney;Attorney Address;Assignee Country;Inventor Country;No. of Assignees;No. of Inventors;Legal Status (Dead/Alive);Legal Quality;Is Litigated;Is Opposed;Litigation Details;Citation Quality;Intrensic Quality;Market Quality;Record Type;Simple Family ID
EP2146174B1;Ammunition retainer apparatus for an ammunition box or magazine for linked ammunition;EP;KONGSBERG DEFENCE & AEROSPACE AS  ( NO );KONGSBERG DEFENCE & AEROSPACE AS (NO);KONGSBERG DEFENCE & AEROSPACE AS (NO);KONGSBERG GRUPPEN ASA;09.feb.11;18.jul.08;F41A9/79;F41A9/79;"EP2146174A1 / EP2146174B1
 DE602008004901D1
 ATE498104T1";AT, EP, DE;EP;20.des;18.jul.08;2008;"WESMANN JOHAN FREDRIK (0125 OSLO, NO); WESMANN JOHAN FREDRIK IID 101019277 ZACCO NORWAY AS PATENT DEPARTMENT HAAKON VLL S GT 2 PO BOX 2003 VIKA 0125 OSLO NO";ZACCO NORWAY AS PATENT DEPARTMENT HAAKON VLL'S GT 2 PO BOX 2003 VIKA;NO;NO-3;1;3;ALIVE;37;No;No;None;sep.95;22.13;21.75;Patent;40121549
EP1602398A3;Ski binding, particulary touring-, telemark-, or cross-country binding;DE;ROTTEFELLA AS  ( NO );ROTTEFELLA AS (NO);ROTTEFELLA AS (NO);ROTTEFELLA AS;19.apr.06;03.mar.05;"A63C2201/06; A63C9/20";A63C9/20;EP1602398A2 / EP1602398A3;EP;EP;17.99;"22-Apr-2004
13-May-2004";2004;"POPP EUGEN (80538 MÜNCHEN, DE); POPP EUGEN ET AL IID 00038661 MEISSNER BOLTE & PARTNER WIDENMAYERSTRASSE 48 80538 MUNCHEN DE";MEISSNER BOLTE & PARTNER WIDENMAYERSTRASSE 48;NO;NO-1;1;1;DEAD;0;No;No;None;39.53;21.81;0;Application;34934047
EP1426475A3;Tenter system;NO;ALFSEN & GUNDERSON  ( NO );ALFSEN & GUNDERSON (NO);ALFSEN & GUNDERSON (NO);ALFSEN & GUNDERSON;15.jun.05;27.nov.03;D06C3/02;"D06C3/04; D06C3/02; D21F7/00";"US7200904B2 / US2004134047A1
 EP1426475A2 / EP1426475A3
 JP2004183198A
 CN1515730A
 CN101230529A
 NO316659B1 / NO20025800A / NO20025800D0";EP, CN, NO, JP, US;EP;25.17;03-Dec-2002;2002;ELLNER LARS O (104 30 STOCKHOLM, SE);AWAPATENT AB BOX 45086;NO;NO-1;1;1;DEAD;0;No;No;None;18.des;32.05;49.05;Application;19914249
EP4095348A1;LINER HANGER RUNNING TOOL;EP;GRANT PRIDECO LP;NAT OILWELL VARCO NORWAY AS (NO);NAT OILWELL VARCO NORWAY AS (NO);NAT OILWELL VARCO INC;30.nov.22;28-May-2021;"E21B34/14; E21B23/08; E21B34/08; E21B43/10";"E21B43/10; E21B34/08";"US2022381099A1
 EP4095348A1";EP, US;EP;okt.43;28-May-2021;2021;HAMS PATENTBYRA AS (4068 STAVANGER, NO);PO BOX 9;NO;"NO-2; DE-1; US-1";1;4;ALIVE;sep.75;No;No;None;0.75;20.33;20.mai;Application;76180995
EP3299541B1;CHIMNEY ELEMENT;NO;PEISSELSKABET AS  ( NO );PEISSELSKABET AS (NO);PEISSELSKABET AS (NO);PEISSELSKABET AS;12.jun.19;22.sep.17;"E04F17/026; E04F17/023; E04B2001/6195; E04F19/005; E04F17/08; E04F17/04";"E04F19/00; E04B1/61; E04C1/39; E04C2/00; E04C2/52; E04F17/02; E04F17/04; E04F17/08; E04H12/28; E04H14/00";"EP3299541A1 / EP3299541B1
 DK3299541T3
 NO20171523A1
 PL3299541T3";DK, PL, NO, EP;EP;13.61;23.sep.16;2016;OSLO PATENTKONTOR AS (0306 OSLO, NO);PO BOX 7007M;NO;NO-1;1;1;ALIVE;34.5;No;No;None;0;13.39;17.sep;Patent;59968995
EP3298315B1;SEAL AND PIPE CARRIER UNIT FOR A SUBSEA PIPE CONNECTION;NO;HELLENES SUBSEA AS  ( NO );HELLENES SUBSEA AS (NO);HELLENES SUBSEA AS (NO);HELLENES SUBSEA AS;29.apr.20;19-May-2016;"F16L19/0206; F16L19/005; F16L19/0237; F16L41/14; F16L19/0212; F16L19/043";"F16L19/02; F16L19/00; F16L41/14";"US2018142814A1
 EP3298315A1 / EP3298315A4 / EP3298315B1
 AU2016264709A1 / AU2016264709B2
 BR112017024670A2 / BR112017024670B1
 NO340578B1 / NO20160834A1";BR, AU, EP, US, NO;EP;21.13;"20-May-2015
18-May-2016
19-May-2016";2015;HAMS PATENTBYRA ANS (4301 SANDNES, NO);PO BOX 171;NO;NO-1;1;1;ALIVE;37.5;No;No;None;16.26;15.sep;18.45;Patent;58430435
EP2994515B1;METHOD OF STORING CO2;EP;EQUINOR ENERGY AS;EQUINOR ENERGY AS (NO);EQUINOR ENERGY AS (NO);EQUINOR ASA;19-Dec-2018;17.apr.14;"B65G5/00; C09K8/00; E21B41/0064; Y02C20/40";"C09K8/00; B65G5/00; E21B41/00; E21B43/16";EP2994515A1 / EP2994515B1;EP;EP;nov.31;"17-Apr-2013
17-Apr-2014
17-Apr-2014";2013;DEHNS (LONDON EC4Y 8JD, GB);ST BRIDES HOUSE 10 SALISBURY SQUARE;NO;NO-2;1;2;ALIVE;33.5;No;No;None;0.13;20.83;aug.25;Patent;55273162
EP2663733B1;AUTONOMOUS VALVE;EP;EQUINOR ENERGY AS  ( NO );EQUINOR ENERGY AS (NO);EQUINOR ENERGY AS (NO);EQUINOR ASA;11.jan.23;29.sep.11;"E21B34/08; E21B43/12";"E21B34/08; E21B43/12";EP2663733A2 / EP2663733B1;EP;EP;16.15;"14-Jan-2011
29-Sep-2011
29-Sep-2011";2011;LIND ROBERT (OXFORD OX2 0QL, GB);MARKS & CLERK LLP 2ND FLOOR WYTHAM COURT 11 WEST WAY;NO;NO-3;1;3;ALIVE;33.5;No;No;None;13.52;15.67;aug.25;Patent;45631567
EP2572848B1;Wiresaw arranged for conducting an endless diamond wire;EP;DIAMANT WIRE TEKNIKK AS  ( NO );DIAMANT WIRE TEKNIKK AS (NO);DIAMANT WIRE TEKNIKK AS (NO);DIAMANT WIRE TEKNIKK AS;21.jan.15;23.sep.11;B28D1/088;B28D1/08;"EP2572848A1 / EP2572848B1
 HK1183646A1";HK, EP;EP;14.96;23.sep.11;2011;FLUGE PER ROALD (1629 GAMLE FREDRIKSTAD, NO);C/O FLUGES PATENT AS POSTBOKS 27;NO;NO-2;1;2;ALIVE;37;No;No;None;mai.82;13.86;12.aug;Patent;45002494
EP2311616B1;Apparatus and method for surface treatment of a body;NO;HUNTONIT AS  ( NO );HUNTONIT AS (NO);HUNTONIT AS (NO);HUNTONIT AS;1-May-2019;09.sep.10;"B27N7/005; B05D1/28; B05D1/40; B05D3/0254; B05D3/065; B05D5/02; B05D7/06";"B27N3/00; B27N3/08";"EP2311616A2 / EP2311616A3 / EP2311616B1
 DK2311616T3
 NO20093015A1";EP, NO, DK;EP;18.nov;17.sep.09;2009;HAMS PATENTBYRA ANS (4301 SANDNES, NO);PO BOX 171;NO;NO-1;1;1;ALIVE;40.5;No;No;None;07.mai;18.aug;17.35;Patent;43638795
EP1915980B1;Chest compression device comprising a motor and a transmission device;US;LAERDAL MEDICAL AS  ( NO );LAERDAL MEDICAL AS (NO);LAERDAL MEDICAL AS (NO);LAERDAL MEDICAL AS;26-May-2010;23-Oct-2007;"F16H37/12; F16H21/44; A61H31/006; A61H31/008; Y10T74/1804";A61H31/00;"US7837636B2 / US2008092677A1
 EP1915980A2 / EP1915980A3 / EP1915980B1
 JP2008138866A
 DE602007006737D1
 AU2007231615A1 / AU2007231615B2
 ES2345514T3
 ATE468835T1";ES, AT, AU, US, JP, EP, DE;EP;26.34;"23-Oct-2006
23-Oct-2006";2006;"HOFFMANN EITLE (81925 MÜNCHEN, DE); HOFFMANN EITLE IID 00101511 PATENT UND RECHTSANWALTE ARABELLASTRASSE 4 81925 MUNCHEN DE";PATENT  UND RECHTSANWÄLTE ARABELLASTRASSE 4;NO;NO-3;1;3;ALIVE;40.5;No;No;None;15.72;20.79;32.9;Patent;39004394
EP1770545A3;Method for analysis of single pulse pressure waves;US;DPCOM AS  ( NO );DPCOM AS (NO);DPCOM AS (NO);DPCOM AS;8-Oct-2014;02.jul.03;"A61B5/02116; A61B5/024; A61B5/02108; A61B5/031; A61B8/04; A61B5/6843; A61B5/021";"G06F17/00; A61B5/021";EP1770545A2 / EP1770545A3;EP;EP;17.54;"30-Oct-2002
02-Jul-2003";2002;ZACCO NORWAY AS (0125 OSLO, NO);PO BOX 2003 VIKA;NO;NO-1;1;1;DEAD;25.des;No;No;None;21.88;12.sep;aug.25;Application;37801647
EP1598106A3;Nozzle unit;NO;LINDE GAS AS;AGA AS (NO);AGA AS (NO);LINDE PLC;23.apr.08;18-May-2005;"C02F3/1294; Y10S261/75; B01F25/31242; B01F23/237612; B01F25/3123; B01F25/31233; B01F25/31425; B01F25/3142; B01F23/232; Y02W10/10; A01K63/042; B01F23/2326";"B01F3/04; B01F5/04";"US7533874B2 / US2005275119A1
 EP1598106A2 / EP1598106A3
 EP2286903A2 / EP2286903A3 / EP2286903B1
 EP2327470A1 / EP2327470B1
 DK2286903T3
 DK2327470T3
 ES2389615T3
 ES2532472T3
 BRPI0501776A / BRPI0501776A8 / BRPI0501776B1
 NO318970B1 / NO20042102A
 AR052762A1
 PT2286903E
 PT2327470E";EP, US, PT, NO, BR, AR, ES, DK;EP;58.13;21-May-2004;2004;"CARLSSON EVA (1316 COPENHAGEN K, DK); CARLSSON EVA ET AL IID 00089871 INTERNATIONALT PATENT BUREAU A S RIGENSGADE 11 1316 COPENHAGEN K DK";INTERNATIONALT PATENT BUREAU A/S RIGENSGADE 11;NO;NO-1;1;1;DEAD;81;No;No;None;42.81;35.22;70.94;Application;34938295
EP1632201B1;Implant;EP;OSTOMYCURE AS  ( NO );OSTOMYCURE AS (NO);OSTOMYCURE AS (NO);OSTOMYCURE AS;27.jan.10;06.sep.04;"A61F5/445; A61F2/0063; A61M39/0247; A61M2039/0261; A61M2039/0279";"A61F5/445; A61M1/00";"EP1632201A1 / EP1632201B1
 DE602004025341D1
 DK1632201T3
 ATE456344T1";EP, DE, DK, AT;EP;25.apr;06.sep.04;2004;"HOLME EDVARD (1620 COPENHAGEN V, DK); HOLME EDVARD IID 00061603 HOLME PATENT A S VESTERBROGADE 20 1620 COPENHAGEN V DK";HOLME PATENT A/S VESTERBROGADE 20;NO;"SE-3; NO-2";1;5;DEAD;40.5;No;No;None;20.29;24.97;22.mar;Patent;34928494
EP1359288B1;Riser guide system;US;MOSS MARITIME AS  ( NO );MOSS MARITIME AS (NO);MOSS MARITIME AS (NO);ENI SPA;11-Oct-2006;2-May-2003;"E21B17/10; E21B19/004";"E21B19/00; E21B17/10";"US6644409B1 / US2003205381A1
 EP1359288A2 / EP1359288A3 / EP1359288B1";EP, US;EP;40.54;03-May-2002;2002;"BRIDDES SAM (LONDON SW1Y 4LR, GB); BRIDDES SAM ET AL IID 09236521 ONSAGERS LTD C O NORWEGIAN TRADE COUNCIL 5 LOWER REGENT STREET LONDON SW1Y 4LR GB";ONSAGERS LTD C/O NORWEGIAN TRADE COUNCIL 5 LOWER REGENT STREET;NO;NO-2;1;2;DEAD;0;No;No;None;67.41;48.55;29.jul;Patent;29215695
EP1359287B1;Riser Guide;US;MOSS MARITIME AS  ( NO );MOSS MARITIME AS (NO);MOSS MARITIME AS (NO);ENI SPA;03.aug.05;2-May-2003;"E21B19/24; E21B19/004";"E21B17/10; E21B19/00";"US6695542B2 / US2003206773A1
 EP1359287A2 / EP1359287A3 / EP1359287B1";US, EP;EP;48.3;03-May-2002;2002;"BRIDDES SAM (LONDON SW1Y 4LR, GB); BRIDDES SAM ET AL IID 00028656 ONSAGERS LTD C O INNOVATION NORWAY 5 LOWER REGENT STREET LONDON SW1Y 4LR GB";ONSAGERS LTD C/O INNOVATION NORWAY 5 LOWER REGENT STREET;NO;NO-2;1;2;DEAD;0;No;No;None;79.84;24.62;46.36;Patent;29215694
EP3915359A1;MODULAR HIGH TUNNEL;NO;LOG AS ,SOERSTROEM STEIN ERIK  ( NO );"SOERSTROEM STEIN ERIK (NO); SORSTROM STEIN ERIK (7021 TRONDHEIM, NO)";"SOERSTROEM STEIN ERIK (NO); SØRSTRØM STEIN ERIK (7021 TRONDHEIM, NO)";LOG AS, SOERSTROEM STEIN ERIK;1-Dec-2021;25-May-2021;"Y02A40/25; E04H15/44; E04H15/644; A01G9/1469; E04H15/18; A01G9/1407; A01G9/1415; A01G9/16; E04H15/34; E04H15/64; E04H15/48; E04H15/642";"A01G9/16; A01G9/14; E04H15/34";"EP3915359A1
 NO345865B1 / NO20200627A1";NO, EP;EP;mai.86;28-May-2020;2020;BRYN AARFLOT AS (0161 OSLO, NO);PATENT STORTINGSGATA 8;NO;NO-1;2;1;DEAD;12.mai;No;No;None;0.75;16.96;apr.55;Application;76098829
EP3870500B1;TRACK KIT;NO;MK EVOL AS  ( NO );MK EVOL AS (NO);MK EVOL AS (NO);MK EVOL AS;14.feb.24;18.sep.19;"B62D55/04; B62D55/08; B62D55/084; B60G17/005; B60G2204/10; B60G2204/4604; B60G2206/911; B60G2300/32; B62D55/10; B62D55/108; B62D55/12; B62D55/14; B62M27/02; B62M2027/025; B62M2027/026; B62K13/00; B62M2027/022; B62K5/01; B62M2027/027; B60G2200/144; B60G3/20; B62D55/13; B62D55/30; B62D55/104; B62D55/244; B62D55/26";"B62D55/04; B62D55/084; B62D55/10";"US2022297775A1
 EP3870500A1 / EP3870500B1
 CA3116611A1
 FI3870500T3
 NO344825B1 / NO20181380A1
 PL3870500T3";US, EP, FI, PL, CA, NO;EP;16.48;"23-Oct-2018
25-Oct-2018
18-Sep-2019";2018;ONSAGERS AS (0123 OSLO, NO);PO BOX 1813 VIKA;NO;NO-1;1;1;ALIVE;32;No;No;None;01.mai;14.66;26.jul;Patent;70803013
EP3566109B1;FAST START-UP BIAS CIRCUITS;US;DISRUPTIVE TECHNOLOGY RESEARCH AS ,MOLDSVORE OYSTEIN;"DISRUPTIVE TECH RESEARCH AS (NO); MOLDSVORE OYSTEIN (NO)";"DISRUPTIVE TECH RESEARCH AS (NO); MOLDSVORE OYSTEIN (NO)";DISRUPTIVE TECHNOLOGY RESEARCH AS, MOLDSVORE OYSTEIN;17.jan.24;16.mar.17;"G05F3/26; G05F3/262";G05F3/26;EP3566109A1 / EP3566109B1;EP;EP;jul.95;"06-Jan-2017
16-Mar-2017";2017;SACH GREG ROBERT (85253 ERDWEG, DE);VALET PATENT SERVICES LLP SIEDLUNGSSTRASSE 4A;NO;NO-1;2;1;ALIVE;18.38;No;No;None;0;17.99;aug.25;Patent;68135997
EP3638018A1;SYSTEM AND METHOD FOR USE IN FISH FARMING OR MARINE HARVESTING;NO;C ROBOTICS AS  ( NO );C ROBOTICS AS (NO);C ROBOTICS AS (NO);C ROBOTICS AS;22.apr.20;13.jun.18;"B08B3/02; A01K80/00; A01K63/10; Y02A40/81; A01K61/10";A01K80/00;"US11490605B2 / US2020187469A1
 EP3638018A1
 JP7217242B2 / JP2020523032A
 AU2018285355A1 / AU2018285355B2
 CA3067003A1
 CL2019003625A1
 NO343706B1 / NO20170958A1
 NO343707B1 / NO20171770A1";CA, NO, CL, AU, EP, JP, US;EP;31.32;"13-Jun-2017
08-Nov-2017
13-Jun-2018";2017;ZACCO NORWAY AS (0125 OSLO, NO);PO BOX 2003 VIKA;NO;NO-2;1;2;ALIVE;42;No;No;None;17.feb;28.75;43.9;Application;64872066
EP3424317B1;SHELL PICKER DEVICE;NO;BREMNES HALLGEIR IVAN  ( NO );BREMNES HALLGEIR IVAN (NO);BREMNES HALLGEIR IVAN (NO);BREMNES HALLGEIR IVAN;27.apr.22;05.jul.18;"A01K80/00; B63B35/14";A01K80/00;"EP3424317A1 / EP3424317B1
 DK3424317T3
 ES2923014T3
 NO343449B1 / NO20171104A1
 PT3424317T";NO, DK, PT, EP, ES;EP;16.68;05.jul.17;2017;CURO AS (7075 TILLER, NO);VESTRE ROSTEN 81;NO;NO-1;1;1;ALIVE;41.5;No;No;None;0.95;13.82;22.mai;Patent;63404928
EP3168439B1;DEBUBBLING SLEEVE FOR FLUID SENSORS AND SENSOR SYSTEMS COMPRISING SAME;EP;WEMA SYSTEM AS  ( NO );WEMA SYSTEM AS (NO);WEMA SYSTEM AS (NO);TE CONNECTIVITY LTD;20.mar.19;16.nov.15;"G01D11/245; F01N2900/1818; F01N2610/1406; B01D19/02; F01N2610/02; F01N2900/1814; F01N2610/148; F01N3/2066; G01N2001/4066; Y02T10/12";"G01N1/40; F01N3/20";"US10794734B2 / US2017138826A1
 EP3168439A1 / EP3168439B1
 CN106975246A / CN106975246B";EP, CN, US;EP;30.82;16.nov.15;2015;GRUNECKER KINKELDEY STOCKMAIR & SCHWANHAUSSER ANWALTSSOZIETAT (80802 MÜNCHEN, DE);LEOPOLDSTRASSE 4;NO;NO-1;1;1;ALIVE;37.5;No;No;None;25.71;32.07;32.75;Patent;54608329
EP2799716A3;A method and a system for drain liquid collection and evacution in a subsea compression system;NO;VETCO GRAY SCANDINAVIA AS  ( NO );VETCO GRAY SCANDINAVIA AS (NO);VETCO GRAY SCANDINAVIA AS (NO);GENERAL ELECTRIC CO;20-May-2015;30.apr.14;"F04D29/701; F04D25/0686; F04D27/0253; Y10T137/0396; Y10T137/86187; Y10T137/85978; Y10T137/4673; Y10T137/2521; E21B43/01; F04D29/706; F04D27/0292";"F04D25/06; F04D27/02";"US2014318636A1
 EP2799716A2 / EP2799716A3
 AU2014202201A1
 BR102014008799A2 / BR102014008799A8
 NO335664B1 / NO20130604A1";EP, AU, BR, NO, US;EP;sep.32;30.apr.13;2013;None;None;NO;"NO-1; IT-1";1;2;DEAD;0;No;No;None;nov.45;15.86;10.mai;Application;50687228
EP2781809A1;A blind flange/process valve;NO;SEUT MARITIME AS  ( NO );SEUT MARITIME AS (NO);SEUT MARITIME AS (NO);SEUT MARITIME AS;24.sep.14;18.mar.14;F16K3/186;"F16K3/18; F16K3/34";"EP2781809A1
 NO334236B1 / NO20130399A1";EP, NO;EP;mar.13;18.mar.13;2013;"OSLO PATENTKONTOR AS (0306 OSLO, NO); OSLO PATENTKONTOR AS IID 101426066 PO BOX 7007M NO";PO BOX 7007M;NO;NO-1;1;1;DEAD;0;No;No;None;01.mai;13.mar;4;Application;49979428
EP2348161A3;Modular system for house building;NO;MJOSUTVIKLING AS  ( NO );MJOSUTVIKLING AS (NO);MJOSUTVIKLING AS (NO);MJOSUTVIKLING AS;23.jan.13;25.jan.11;"E04B1/14; E04B1/6145; E04C2/296";"E04B1/10; E04B1/61; E04B1/74";"EP2348161A2 / EP2348161A3
 NO333279B1 / NO20100129A1";EP, NO;EP;18.58;26.jan.10;2010;"CROWO ARNULF (LONDON SW1Y 4LR, GB); CROWO ARNULF IID 101230219 ONSAGERS LTD C O INNOVATION NORWAY 5 LOWER REGENT STREET LONDON SW1Y 4LR GB";ONSAGERS LTD C/O INNOVATION NORWAY 5 LOWER REGENT STREET;NO;NO-1;1;1;DEAD;38.5;No;No;None;20;15.18;apr.55;Application;43923529
